"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"03/06/2020","8,05","9,57","20,53","8,05","9,59","224,52K"
"02/06/2020","7,30","7,94","11,05","7,30","8,01","150,27K"
"01/06/2020","7,00","7,15","2,14","6,94","7,20","57,82K"
"29/05/2020","7,13","7,00","-2,51","6,86","7,29","83,27K"
"28/05/2020","7,52","7,18","-4,27","7,09","7,54","126,53K"
"27/05/2020","7,28","7,50","5,93","7,18","7,54","100,39K"
"26/05/2020","7,00","7,08","2,76","6,88","7,30","112,51K"
"25/05/2020","6,45","6,89","9,89","6,45","6,95","112,96K"
"22/05/2020","6,35","6,27","-0,95","6,13","6,40","52,97K"
"21/05/2020","6,10","6,33","3,77","5,92","6,44","61,29K"
"20/05/2020","6,00","6,10","4,81","5,82","6,17","59,55K"
"19/05/2020","5,90","5,82","0,00","5,72","6,11","66,75K"
"18/05/2020","5,47","5,82","12,14","5,39","5,86","60,43K"
"15/05/2020","5,19","5,19","-0,76","5,13","5,45","47,03K"
"14/05/2020","5,20","5,23","-0,57","5,00","5,32","44,70K"
"13/05/2020","5,69","5,26","-6,41","5,21","5,69","69,12K"
"12/05/2020","5,65","5,62","-0,88","5,62","5,91","37,10K"
"11/05/2020","5,67","5,67","-4,22","5,67","5,86","47,33K"
"08/05/2020","6,03","5,92","-1,99","5,83","6,15","54,28K"
"07/05/2020","6,30","6,04","-5,92","6,01","6,58","82,22K"
"06/05/2020","6,65","6,42","-1,38","6,37","6,70","46,88K"
"05/05/2020","6,50","6,51","2,20","6,44","6,77","37,49K"
"04/05/2020","6,45","6,37","-7,41","6,21","6,56","50,25K"
"30/04/2020","7,60","6,88","-5,49","6,79","7,60","76,60K"
"29/04/2020","7,23","7,28","1,68","7,15","7,56","63,57K"
"28/04/2020","6,75","7,16","9,98","6,71","7,16","37,90K"
"27/04/2020","6,47","6,51","1,40","6,30","6,73","61,35K"
"24/04/2020","7,48","6,42","-12,53","6,15","7,48","172,38K"
"23/04/2020","7,44","7,34","1,94","6,94","7,61","98,99K"
"22/04/2020","6,88","7,20","5,73","6,82","7,35","104,17K"
"20/04/2020","6,50","6,81","4,77","6,34","6,93","84,14K"
"17/04/2020","6,65","6,50","2,36","6,35","6,67","40,56K"
"16/04/2020","6,64","6,35","-0,63","6,27","6,66","42,77K"
"15/04/2020","6,15","6,39","1,11","6,00","6,45","34,01K"
"14/04/2020","6,52","6,32","-1,25","6,31","6,89","97,05K"
"13/04/2020","6,62","6,40","-0,78","6,05","6,62","53,15K"
"09/04/2020","6,27","6,45","4,37","6,19","6,65","67,15K"
"08/04/2020","6,09","6,18","7,29","5,61","6,39","47,30K"
"07/04/2020","5,79","5,76","2,49","5,69","6,10","76,63K"
"06/04/2020","5,51","5,62","5,44","5,42","6,00","51,68K"
"03/04/2020","5,20","5,33","-1,48","5,10","5,37","32,47K"
"02/04/2020","6,10","5,41","-1,46","5,21","6,10","66,74K"
"01/04/2020","6,18","5,49","-16,18","5,33","6,20","98,12K"
"31/03/2020","7,15","6,55","-2,53","6,13","7,50","115,16K"
"30/03/2020","7,03","6,72","-10,40","6,72","7,50","73,26K"
"27/03/2020","7,54","7,50","-0,53","6,85","7,54","64,66K"
"26/03/2020","7,12","7,54","6,95","7,12","8,05","127,79K"
"25/03/2020","7,74","7,05","0,14","6,82","7,96","101,85K"
"24/03/2020","6,02","7,04","15,60","6,02","7,32","97,61K"
"23/03/2020","6,70","6,09","-11,22","5,61","6,93","51,96K"
