"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"03/06/2020","3,03","3,01","3,79","3,00","3,40","667,23K"
"02/06/2020","2,49","2,90","18,37","2,49","2,93","905,55K"
"01/06/2020","2,32","2,45","5,60","2,32","2,47","78,76K"
"29/05/2020","2,39","2,32","-2,11","2,24","2,43","182,93K"
"28/05/2020","2,55","2,37","0,00","2,36","2,55","127,85K"
"27/05/2020","2,31","2,37","1,28","2,31","2,48","128,86K"
"26/05/2020","2,38","2,34","2,18","2,30","2,38","66,10K"
"25/05/2020","2,19","2,29","4,57","2,19","2,35","85,40K"
"22/05/2020","2,25","2,19","-2,67","2,19","2,29","94,68K"
"21/05/2020","2,26","2,25","-3,02","2,25","2,41","123,36K"
"20/05/2020","2,28","2,32","3,11","2,20","2,39","114,52K"
"19/05/2020","2,28","2,25","-0,44","2,25","2,33","32,90K"
"18/05/2020","2,23","2,26","2,26","2,23","2,37","143,61K"
"15/05/2020","2,35","2,21","-5,96","2,12","2,39","72,39K"
"14/05/2020","2,29","2,35","-1,26","2,26","2,41","40,11K"
"13/05/2020","2,50","2,38","-2,86","2,35","2,55","39,47K"
"12/05/2020","2,42","2,45","-1,21","2,42","2,56","28,88K"
"11/05/2020","2,58","2,48","-2,75","2,46","2,61","35,22K"
"08/05/2020","2,50","2,55","2,00","2,50","2,74","123,78K"
"07/05/2020","2,55","2,50","-1,19","2,50","2,80","192,14K"
"06/05/2020","2,65","2,53","-2,32","2,49","2,69","28,68K"
"05/05/2020","2,78","2,59","-1,15","2,55","2,78","113,57K"
"04/05/2020","2,63","2,62","-4,03","2,55","2,70","52,73K"
"30/04/2020","2,88","2,73","-2,50","2,68","2,88","128,05K"
"29/04/2020","2,90","2,80","-2,10","2,80","2,96","202,50K"
"28/04/2020","2,97","2,86","-0,35","2,80","3,00","333,42K"
"27/04/2020","2,71","2,87","6,30","2,71","3,00","269,29K"
"24/04/2020","2,90","2,70","-6,90","2,62","2,90","243,80K"
"23/04/2020","3,18","2,90","-5,54","2,90","3,29","456,49K"
"22/04/2020","2,90","3,07","7,72","2,90","3,18","462,22K"
"20/04/2020","2,64","2,85","3,64","2,64","2,85","205,75K"
"17/04/2020","2,90","2,75","-1,79","2,72","2,99","506,91K"
"16/04/2020","2,56","2,80","9,80","2,56","3,05","1,01M"
"15/04/2020","2,50","2,55","0,00","2,28","2,69","307,45K"
"14/04/2020","2,53","2,55","2,00","2,49","2,79","564,41K"
"13/04/2020","2,06","2,50","20,77","2,04","2,60","852,08K"
"09/04/2020","2,04","2,07","0,49","2,01","2,15","362,63K"
"08/04/2020","1,95","2,06","5,64","1,95","2,08","110,89K"
"07/04/2020","2,02","1,95","0,52","1,95","2,09","146,52K"
"06/04/2020","2,00","1,94","0,52","1,94","2,09","191,98K"
"03/04/2020","2,03","1,93","-5,85","1,90","2,09","87,10K"
"02/04/2020","2,10","2,05","0,00","2,00","2,19","100,94K"
"01/04/2020","2,05","2,05","-3,30","1,96","2,24","86,11K"
"31/03/2020","2,35","2,12","-7,83","2,08","2,58","314,65K"
"30/03/2020","2,00","2,30","6,48","2,00","2,82","500,60K"
"27/03/2020","1,85","2,16","14,89","1,77","2,25","238,99K"
"26/03/2020","1,98","1,88","-2,59","1,80","2,09","326,32K"
"25/03/2020","1,88","1,93","4,32","1,70","2,00","479,81K"
"24/03/2020","1,95","1,85","-4,64","1,85","2,14","154,67K"
"23/03/2020","1,90","1,94","-0,51","1,75","1,95","177,95K"
"20/03/2020","2,03","1,95","-2,50","1,91","2,16","213,44K"
