"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"03/06/2020","4,10","3,99","1,27","3,79","4,19","74,20M"
"02/06/2020","3,82","3,94","3,96","3,82","4,04","55,93M"
"01/06/2020","3,57","3,79","6,46","3,57","3,85","44,57M"
"29/05/2020","3,78","3,56","-6,81","3,48","3,96","73,02M"
"28/05/2020","3,30","3,82","16,46","3,21","3,86","117,90M"
"27/05/2020","3,10","3,28","7,54","3,05","3,28","30,15M"
"26/05/2020","3,30","3,05","-4,98","3,04","3,42","30,06M"
"25/05/2020","2,95","3,21","11,85","2,89","3,24","25,78M"
"22/05/2020","2,88","2,87","-0,35","2,72","2,88","13,53M"
"21/05/2020","2,85","2,88","1,05","2,81","2,97","13,42M"
"20/05/2020","2,96","2,85","-3,06","2,81","2,98","15,15M"
"19/05/2020","2,93","2,94","0,00","2,84","3,04","19,14M"
"18/05/2020","2,83","2,94","7,69","2,74","2,94","15,67M"
"15/05/2020","2,60","2,73","2,25","2,60","2,79","7,62M"
"14/05/2020","2,60","2,67","-0,37","2,53","2,67","10,28M"
"13/05/2020","2,81","2,68","-3,94","2,55","2,83","12,33M"
"12/05/2020","2,78","2,79","0,36","2,66","2,83","14,20M"
"11/05/2020","2,85","2,78","-4,14","2,75","2,92","14,47M"
"08/05/2020","2,91","2,90","1,75","2,72","2,95","14,06M"
"07/05/2020","3,15","2,85","-7,47","2,83","3,18","15,62M"
"06/05/2020","3,15","3,08","-2,22","2,99","3,23","20,75M"
"05/05/2020","3,27","3,15","-0,94","3,10","3,35","15,48M"
"04/05/2020","3,10","3,18","-2,15","3,05","3,28","16,67M"
"30/04/2020","3,25","3,25","-6,34","3,17","3,57","35,90M"
"29/04/2020","3,07","3,47","16,05","2,92","3,47","37,59M"
"28/04/2020","3,20","2,99","-1,64","2,89","3,25","27,11M"
"27/04/2020","2,89","3,04","7,80","2,72","3,04","18,39M"
"24/04/2020","3,05","2,82","-10,19","2,58","3,10","25,37M"
"23/04/2020","3,08","3,14","4,32","2,97","3,28","32,64M"
"22/04/2020","2,93","3,01","2,03","2,88","3,06","22,47M"
"20/04/2020","2,85","2,95","-0,34","2,75","2,98","14,03M"
"17/04/2020","3,00","2,96","2,07","2,86","3,09","11,49M"
"16/04/2020","3,25","2,90","-6,45","2,84","3,29","20,48M"
"15/04/2020","2,81","3,10","8,77","2,71","3,19","16,51M"
"14/04/2020","2,66","2,85","10,47","2,64","2,88","13,71M"
"13/04/2020","2,62","2,58","-2,27","2,52","2,68","9,58M"
"09/04/2020","2,68","2,64","0,76","2,58","2,78","11,75M"
"08/04/2020","2,82","2,62","-4,73","2,57","2,88","16,61M"
"07/04/2020","2,66","2,75","10,00","2,60","2,89","9,58M"
"06/04/2020","2,65","2,50","2,46","2,39","2,65","7,72M"
"03/04/2020","2,50","2,44","-3,94","2,26","2,50","5,18M"
"02/04/2020","2,58","2,54","2,83","2,33","2,60","6,77M"
"01/04/2020","2,60","2,47","-9,85","2,37","2,67","9,47M"
"31/03/2020","3,30","2,74","-17,47","2,74","3,36","17,86M"
"30/03/2020","3,53","3,32","0,00","3,32","3,60","8,65M"
"27/03/2020","3,35","3,32","-6,48","3,16","3,45","8,53M"
"26/03/2020","2,96","3,55","13,78","2,93","3,55","9,50M"
"25/03/2020","2,95","3,12","5,76","2,84","3,23","7,61M"
"24/03/2020","2,65","2,95","18,47","2,55","2,97","6,05M"
"23/03/2020","2,75","2,49","-4,96","2,25","2,77","6,49M"
